<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.07.14	623.01	625.88	610.94	614.23	21101	0	0
2014.07.15	614.22	619.80	610.10	616.36	17261	0	0
2014.07.16	617.16	618.97	605.14	611.12	21621	0	0
2014.07.17	611.11	622.97	604.49	618.51	29561	0	0
2014.07.18	618.50	626.00	612.92	622.51	22151	0	0
2014.07.21	620.00	621.20	609.12	615.40	19561	0	0
2014.07.22	615.41	618.99	612.49	613.19	10781	0	0
2014.07.23	613.07	617.00	610.44	614.00	12191	0	0
2014.07.24	614.08	615.54	585.77	596.83	42291	0	0
2014.07.25	596.84	603.61	586.97	593.33	29771	0	0
2014.07.28	586.44	588.83	564.52	582.22	44401	0	0
2014.07.29	582.21	585.23	572.38	578.58	22071	0	0
2014.07.30	578.30	579.87	551.93	556.57	34151	0	0
2014.07.31	556.54	583.10	551.04	576.79	43871	0	0
2014.08.01	576.80	600.74	576.08	594.00	32121	0	0
2014.08.04	580.95	589.70	575.85	582.40	26251	0	0
2014.08.05	582.44	582.99	572.27	575.06	14061	0	0
2014.08.06	575.34	580.36	570.50	575.95	19111	0	0
2014.08.07	575.94	585.90	573.01	579.32	22401	0	0
2014.08.08	578.87	589.00	578.05	585.28	15491	0	0
2014.08.11	583.94	584.99	565.47	567.34	22441	0	0
2014.08.12	567.37	568.27	555.92	562.35	19681	0	0
2014.08.13	562.34	566.00	518.61	543.33	75771	0	0
2014.08.14	543.40	544.00	491.01	501.51	64091	0	0
2014.08.15	501.56	514.91	477.13	490.62	64621	0	0
2014.08.18	491.71	503.03	436.00	467.93	110281	0	0
2014.08.19	467.99	487.89	447.04	485.76	63931	0	0
2014.08.20	485.77	521.07	460.00	511.91	96001	0	0
2014.08.21	511.75	528.10	504.78	514.03	44361	0	0
2014.08.22	514.04	520.89	496.33	509.73	44811	0	0
2014.08.25	501.00	501.54	490.80	496.75	17231	0	0
2014.08.26	496.76	509.66	496.34	507.29	16111	0	0
2014.08.27	507.30	517.05	504.22	505.10	23461	0	0
2014.08.28	505.11	508.97	499.94	500.47	13421	0	0
