<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.03	1005.80	1032.71	994.25	1029.62	217874	0	0
2017.01.04	1029.63	1133.89	1023.13	1108.65	600544	0	0
2017.01.05	1108.64	1130.71	880.03	996.31	1204594	0	0
2017.01.06	996.25	1020.98	866.57	881.95	829531	0	0
2017.01.09	905.32	905.97	870.00	889.53	359914	0	0
2017.01.10	889.52	906.24	883.73	898.57	228744	0	0
2017.01.11	898.56	912.29	751.92	772.20	662594	0	0
2017.01.12	772.19	826.80	745.42	800.58	507154	0	0
2017.01.13	800.59	825.40	769.98	814.93	311791	0	0
2017.01.16	816.06	828.70	812.54	825.12	138624	0	0
2017.01.17	825.11	902.51	821.51	900.47	368784	0	0
2017.01.18	900.46	909.80	845.86	881.19	321474	0	0
2017.01.19	880.69	903.99	872.82	895.63	227764	0	0
2017.01.20	895.64	896.44	874.50	893.22	130651	0	0
2017.01.23	917.10	921.30	907.25	908.08	175294	0	0
2017.01.24	908.05	916.86	876.27	878.91	258464	0	0
2017.01.25	878.92	897.61	878.44	887.34	137804	0	0
2017.01.26	887.35	913.16	887.30	908.63	108434	0	0
2017.01.27	908.64	918.43	902.37	914.00	107431	0	0
2017.01.30	906.58	916.31	904.13	913.86	73304	0	0
2017.01.31	913.88	963.77	911.63	957.50	182994	0	0
2017.02.01	957.51	980.16	956.01	977.78	187194	0	0
2017.02.02	977.79	1003.29	967.21	998.26	232564	0	0
2017.02.03	998.27	999.98	987.01	998.63	88681	0	0
2017.02.06	999.52	1025.64	997.05	1017.76	350014	0	0
2017.02.07	1017.75	1050.08	1015.46	1045.76	134504	0	0
2017.02.08	1045.77	1063.99	1019.01	1045.72	267694	0	0
2017.02.09	1045.73	1068.26	928.06	968.75	504998	0	0
2017.02.13	1005.81	1005.81	995.74	997.53	10072	0	0
2017.02.14	1003.43	1003.43	1003.43	1003.43	1	0	0
2017.02.15	1008.15	1009.03	1008.15	1009.03	881	0	0
2017.02.16	1030.44	1031.92	1030.44	1031.91	1491	0	0
2017.02.20	1055.24	1055.24	1055.24	1055.24	1	0	0
2017.02.21	1113.91	1113.91	1113.91	1113.91	1	0	0
2017.02.22	1122.64	1122.64	1122.64	1122.64	1	0	0
2017.02.23	1148.07	1170.00	1146.73	1170.00	3	0	0
2017.02.27	1189.67	1189.67	1189.67	1189.67	1	0	0
2017.02.28	1180.26	1188.50	1175.40	1188.50	4862	0	0
2017.03.01	1192.77	1220.73	1192.77	1217.59	3	0	0
2017.03.02	1255.16	1255.16	1255.16	1255.16	1	0	0
2017.03.06	1272.94	1272.94	1270.83	1270.83	2	0	0
2017.03.07	1237.25	1237.25	1237.25	1237.25	1	0	0
2017.03.08	1230.27	1230.27	1156.15	1156.15	2	0	0
2017.03.09	1202.60	1202.60	1202.60	1202.60	1	0	0
2017.03.10	1256.23	1256.23	1256.23	1256.23	1	0	0
2017.03.13	1242.00	1242.00	1233.16	1233.16	2	0	0
2017.03.14	1238.19	1238.19	1238.19	1238.19	1	0	0
2017.03.15	1239.51	1246.60	1239.51	1246.60	12	0	0
2017.03.16	1157.40	1157.40	1157.40	1157.40	1	0	0
2017.04.18	1197.39	1206.33	1187.32	1196.44	99251	0	0
2017.04.19	1196.47	1203.97	1184.05	1197.45	190404	0	0
2017.04.20	1197.46	1237.33	1195.74	1228.56	211944	0	0
2017.04.21	1228.57	1246.30	1225.67	1235.34	188091	0	0
2017.04.24	1235.41	1247.99	1228.46	1247.38	144424	0	0
2017.04.25	1247.37	1273.98	1245.41	1264.20	190994	0	0
2017.04.26	1264.19	1309.38	1263.06	1281.26	284634	0	0
2017.04.27	1281.28	1335.91	1279.16	1325.19	237994	0	0
2017.04.28	1325.20	1341.01	1292.85	1299.47	377051	0	0
2017.05.01	1342.72	1418.99	1334.87	1385.93	487164	0	0
2017.05.02	1386.00	1474.00	1382.24	1441.65	498604	0	0
2017.05.03	1441.86	1509.97	1425.04	1498.12	513974	0	0
2017.05.04	1498.11	1617.01	1438.95	1532.47	958694	0	0
2017.05.05	1532.46	1602.83	1491.01	1513.07	815621	0	0
2017.05.08	1552.31	1647.06	1549.97	1642.79	846614	0	0
2017.05.09	1642.74	1754.39	1610.07	1713.21	1007764	0	0
2017.05.10	1713.20	1787.99	1676.01	1767.56	632944	0	0
2017.05.11	1767.55	1886.14	1739.04	1823.90	867374	0	0
2017.05.12	1823.89	1825.81	1644.02	1692.83	844001	0	0
2017.05.15	1774.59	1778.00	1676.58	1698.78	895264	0	0
2017.05.16	1697.41	1743.79	1635.11	1694.20	758124	0	0
2017.05.17	1694.19	1833.50	1664.47	1773.46	1168684	0	0
2017.05.18	1771.48	1875.80	1763.89	1872.75	681104	0	0
2017.05.19	1872.76	1948.97	1868.66	1925.30	637021	0	0
2017.05.22	2013.77	2223.92	1996.30	2088.34	1552114	0	0
2017.05.23	2088.35	2267.50	2084.11	2258.53	1260494	0	0
2017.05.24	2259.27	2474.96	2258.53	2412.44	1348554	0	0
2017.05.25	2412.45	2753.73	2215.39	2277.02	3481264	0	0
2017.05.26	2277.03	2592.96	2055.56	2260.29	3039511	0	0
2017.05.29	2169.67	2344.07	2105.81	2284.86	1415904	0	0
2017.05.30	2284.85	2333.06	2154.28	2202.33	1512654	0	0
2017.05.31	2201.52	2328.00	2151.97	2294.07	1247244	0	0
2017.06.01	2296.13	2450.29	2292.71	2403.67	1186434	0	0
2017.06.02	2403.68	2448.97	2366.53	2436.42	806411	0	0
2017.06.05	2526.48	2693.00	2519.64	2691.99	768054	0	0
2017.06.06	2692.31	2926.99	2686.53	2872.22	1892214	0	0
2017.06.07	2872.21	2887.68	2607.75	2675.68	1621874	0	0
2017.06.08	2675.69	2809.00	2607.63	2800.97	1358664	0	0
2017.06.09	2800.69	2862.24	2775.17	2823.66	740061	0	0
2017.06.12	2948.60	2973.99	2474.52	2652.44	2463464	0	0
2017.06.13	2652.45	2777.07	2632.29	2698.51	1490804	0	0
2017.06.14	2698.52	2794.50	2315.34	2444.71	3030274	0	0
2017.06.15	2445.55	2509.00	2114.50	2417.06	12072818	0	0
2017.06.16	2417.09	2471.98	2301.62	2461.50	2271879	0	0
2017.06.19	2548.01	2587.00	2480.00	2561.50	1799219	0	0
2017.06.20	2561.00	2761.93	2547.68	2723.75	4464434	0	0
2017.06.21	2723.85	2752.29	2623.58	2644.50	5055952	0	0
2017.06.22	2631.83	2729.25	2561.00	2669.90	7594486	0	0
2017.06.23	2669.46	2718.90	2655.01	2690.03	3604162	0	0
2017.06.26	2458.86	2522.37	2201.00	2267.50	6067274	0	0
2017.06.27	2271.53	2454.00	2251.01	2453.95	5560322	0	0
2017.06.28	2453.91	2588.50	2420.85	2583.53	4496105	0	0
2017.06.29	2582.58	2588.90	2492.00	2541.04	2952979	0	0
2017.06.30	2541.04	2553.58	2481.19	2492.77	3281489	0	0
2017.07.03	2493.07	2578.62	2470.73	2545.14	2687282	0	0
2017.07.04	2545.03	2629.50	2531.15	2567.96	2497028	0	0
2017.07.05	2567.98	2617.90	2545.05	2598.28	2348292	0	0
2017.07.06	2598.27	2619.24	2574.70	2586.27	1627237	0	0
2017.07.07	2586.29	2596.26	2484.91	2503.89	1714970	0	0
2017.07.10	2528.42	2528.60	2354.78	2378.52	2684420	0	0
2017.07.11	2378.53	2402.78	2239.14	2322.13	5627861	0	0
2017.07.12	2322.01	2407.54	2239.01	2367.35	7250703	0	0
2017.07.13	2367.36	2405.79	2302.14	2327.61	2004822	0	0
2017.07.14	2327.59	2342.12	2146.66	2150.83	2934360	0	0
2017.07.17	1854.20	2174.99	1841.71	2163.36	3060779	114479999999988552	0
2017.07.18	2163.18	2380.79	2124.05	2354.96	49701	497009999999950299	12010
2017.07.19	2354.97	2388.01	2205.04	2243.99	62781	627809999999937219	12010
2017.07.20	2244.00	2718.26	2233.45	2718.26	63129	631289999999936871	12010
2017.07.21	2718.29	2945.02	2598.59	2628.93	58319	583189999999941681	12010
2017.07.24	2779.44	2793.18	2709.00	2749.42	26803	268029999999973197	12010
2017.07.25	2749.01	2770.83	2439.59	2450.00	37948	379479999999962052	12010
2017.07.26	2492.27	2601.11	2397.01	2486.94	26718	267179999999973282	12010
2017.07.27	2489.00	2590.38	2438.52	2573.72	21434	214339999999978566	12010
2017.07.28	2580.51	2818.99	2580.51	2733.00	34747	347429999999965257	12010
2017.07.31	2706.70	2874.24	2689.01	2874.24	45265	452649999999954735	12010
2017.08.01	2875.69	2913.26	2670.02	2735.72	47284	472839999999952716	12010
2017.08.02	2724.01	2750.18	2659.91	2678.51	27527	275269999999972473	12010
2017.08.03	2674.01	2789.14	2639.01	2768.95	21805	218049999999978195	12010
2017.08.04	2774.35	2871.10	2750.04	2820.99	24605	246049999999975395	12010
2017.08.07	3252.71	3409.99	3179.01	3329.00	30804	0	12010
2017.08.08	3329.98	3482.41	3329.98	3436.35	20590	0	12010
2017.08.09	3437.17	3444.00	3226.62	3350.70	36744	0	12010
2017.08.10	3350.69	3440.98	3289.03	3413.49	19974	0	12010
2017.08.11	3413.70	3567.99	3397.01	3567.61	20922	0	12010
2017.08.14	4006.51	4321.99	3974.05	4251.98	33401	0	12010
2017.08.15	4248.91	4423.42	3801.14	4060.60	33032	0	12010
2017.08.16	4062.99	4363.96	3922.01	4337.00	32258	0	12010
2017.08.17	4336.62	4462.99	4174.02	4312.25	35201	0	12010
2017.08.18	4313.14	4349.00	4010.85	4041.01	24059	0	12010
2017.08.21	4115.00	4137.00	3949.01	3986.99	45647	0	12010
2017.08.22	3987.00	4134.35	3586.60	4062.01	38572	0	12010
2017.08.23	4062.97	4241.79	4010.79	4123.37	20065	0	12010
2017.08.24	4123.68	4237.99	4080.16	4223.00	23911	0	12010
2017.08.25	4223.50	4445.34	4212.01	4307.95	18228	0	12010
2017.08.28	4358.64	4358.98	4189.01	4328.85	30023	0	12010
2017.08.29	4328.78	4635.83	4328.69	4581.05	24585	0	12010
2017.08.30	4582.52	4629.83	4494.56	4563.98	15211	0	12010
2017.08.31	4564.00	4763.02	4541.88	4732.00	12263	0	12010
2017.09.01	4732.06	4909.00	4700.00	4873.42	7167	0	12010
2017.09.04	4569.98	4638.94	4228.17	4509.01	41451	0	12010
2017.09.05	4509.02	4569.92	4233.91	4446.04	60412	0	12010
2017.09.06	4446.04	4685.99	4410.18	4557.25	31017	0	12010
2017.09.07	4551.56	4658.39	4469.56	4563.48	32550	0	13010
2017.09.08	4562.64	4672.98	4128.42	4212.71	23904	0	13010
2017.09.11	4277.21	4353.00	4104.32	4180.47	35671	0	13010
2017.09.12	4179.40	4367.99	4073.05	4167.95	20207	0	13010
2017.09.13	4167.80	4192.30	3719.02	3882.00	39390	0	13010
2017.09.14	3883.50	3937.99	3233.00	3385.98	38826	0	13010
2017.09.15	3385.96	3885.31	2968.01	3724.09	60123	0	14010
2017.09.18	3751.56	4112.20	3702.89	3995.05	45636	0	14010
2017.09.19	3997.00	4113.16	3838.75	3893.54	39615	0	14010
2017.09.20	3893.56	4036.99	3838.02	3948.51	23613	0	14010
2017.09.21	3947.13	3959.60	3560.98	3642.94	30794	0	14010
2017.09.22	3642.81	3755.75	3502.99	3601.99	28792	0	14010
2017.09.25	3660.31	3958.34	3652.32	3926.02	14709	0	14010
2017.09.26	3926.02	3952.99	3842.30	3896.39	20597	0	14010
2017.09.27	3896.78	4178.41	3869.05	4142.27	14683	0	14010
2017.09.28	4142.27	4262.94	4115.04	4152.50	15599	0	14010
2017.09.29	4153.00	4205.98	4003.18	4152.91	9119	0	14010
2017.10.02	4334.50	4462.99	4333.01	4368.01	4740	0	14010
2017.10.03	4369.98	4407.95	4233.01	4270.47	6159	0	14010
2017.10.04	4270.54	4336.52	4172.01	4187.88	8568	0	14010
2017.10.05	4187.88	4355.33	4138.02	4334.23	8253	0	14010
2017.10.06	4335.38	4399.98	4288.00	4335.02	4828	0	14010
2017.10.09	4569.45	4868.29	4554.01	4830.18	10651	0	12000
2017.10.10	4830.09	4918.64	4725.77	4857.67	9755	0	14010
2017.10.11	4857.66	4862.48	4691.77	4815.44	11943	0	14010
2017.10.12	4815.52	5384.59	4777.50	5304.57	20315	0	14010
2017.10.13	5305.40	5853.69	5260.33	5594.73	26501	0	14010
2017.10.16	5512.99	5745.99	5491.23	5682.70	22619	0	14010
2017.10.17	5682.59	5773.30	5518.08	5568.00	11691	0	14010
2017.10.18	5569.00	5593.88	5095.01	5508.87	14117	0	14010
2017.10.19	5510.44	5737.80	5488.01	5689.69	12175	0	14010
2017.10.20	5689.70	6051.99	5623.00	5978.01	10989	0	14010
2017.10.23	5871.19	6045.02	5643.98	5903.00	15937	0	14010
2017.10.24	5905.18	5920.70	5544.01	5582.20	21203	0	14010
2017.10.25	5582.26	5681.99	5364.73	5666.37	19348	0	14010
2017.10.26	5668.87	5977.99	5639.45	5830.00	10086	0	14010
2017.10.27	5838.00	5986.00	5701.80	5747.01	7125	0	14010
2017.10.29	6177.57	6207.00	6116.57	6174.77	286	0	24000
2017.10.30	6174.77	6196.00	6021.00	6080.72	483269	0	0
2017.10.31	6080.72	6413.12	6080.72	6386.77	8085	0	14010
2017.11.01	6386.95	6643.00	6353.33	6589.01	11527	0	14010
2017.11.02	6588.01	7437.99	6577.80	7077.90	26926	0	14010
2017.11.03	7077.89	7442.98	6943.90	7237.95	17321	0	14010
2017.11.06	7372.51	7446.77	6926.61	7119.63	25885	0	12000
2017.11.07	7119.62	7221.10	6936.01	7068.40	20116	0	18010
2017.11.08	7064.70	7890.99	7028.00	7248.76	21574	0	14010
2017.11.09	7252.17	7477.00	7073.00	7116.27	18141	0	14010
2017.11.10	7116.27	7337.01	6419.04	6579.01	20782	0	14010
2017.11.13	5900.09	6832.99	5640.81	6508.02	29359	0	14010
2017.11.14	6508.01	6736.00	6438.43	6575.00	26792	0	14010
2017.11.15	6575.01	7340.99	6543.01	7298.05	16969	0	14010
2017.11.16	7298.19	7882.00	7118.01	7881.01	12041	0	14010
2017.11.17	7881.00	7976.50	7529.00	7676.00	16485	0	14010
2017.11.20	8028.00	8285.92	7948.09	8261.92	5420	0	14010
2017.11.21	8261.96	8367.80	7791.50	8149.69	9145	0	14010
2017.11.22	8146.82	8291.97	7988.24	8207.99	5562	0	14010
2017.11.23	8208.00	8273.36	8096.00	8162.97	6325	0	14010
2017.11.24	8162.98	8316.99	7895.83	8267.00	6061	0	14010
2017.11.27	9423.00	9787.99	9350.07	9663.00	13155	0	14010
2017.11.28	9662.96	9982.93	9620.02	9956.79	5762	0	14010
2017.11.29	9956.76	11474.98	8680.00	10239.98	28742	0	14010
2017.11.30	10242.70	10815.00	9105.60	9643.96	39338	0	60010
2017.12.01	9627.50	10902.00	9473.00	10854.00	32784	0	44000
2017.12.04	10989.38	11514.97	10521.02	11420.01	15669	0	150010
2017.12.05	11420.76	11916.00	11420.01	11681.00	17214	0	28383
2017.12.06	11681.00	13141.07	11523.00	13106.00	28010	0	41501
2017.12.07	13106.00	16038.00	13068.00	15844.00	40633	0	0
2017.12.08	15844.00	17113.00	13845.50	15574.00	42174	0	0
2017.12.11	14328.00	17395.00	14255.00	17035.00	42554	0	0
2017.12.12	17035.00	17496.00	16124.19	17001.00	34126	0	0
2017.12.13	17002.00	17209.00	15038.50	15909.39	41289	0	0
2017.12.14	15909.39	16353.78	15373.37	16258.95	6039	0	21970
2017.12.15	16258.95	17888.95	16152.87	17444.46	6719	0	33049
2017.12.18	18828.95	19383.95	17746.95	18584.95	6963	0	34990
2017.12.19	18584.95	18973.74	16508.95	16690.06	7184	0	0
2017.12.20	16690.06	17721.61	15618.95	16119.45	14184	0	0
2017.12.21	16119.45	17280.45	14753.45	15487.45	38451	0	24100
2017.12.22	15487.45	15764.45	10649.45	13434.45	45103	0	0
2017.12.26	14994.45	15984.50	14575.00	15780.50	15473	0	44221
2017.12.27	15780.50	16442.76	14408.00	15127.16	26540	0	26050
2017.12.28	15127.16	15412.50	13216.69	13746.00	30767	0	11967
2017.12.29	13746.00	15044.96	13746.00	14117.34	27269	0	0
2018.01.02	13211.50	15231.56	13124.00	14722.15	14934	0	49490
2018.01.03	14722.15	15375.47	14446.39	14970.08	27621	0	56882
2018.01.04	14970.08	15320.00	14082.50	14857.00	27674	0	29550
2018.01.05	14857.00	16851.53	14721.67	16765.20	26300	0	30544
2018.01.08	16145.50	16430.50	13634.45	14796.29	25144	0	9678
2018.01.09	14796.29	15295.95	14067.92	14444.95	21451	0	34020
2018.01.10	14444.93	14649.91	13292.25	14421.33	25409	0	38675
2018.01.11	14421.33	14871.68	12682.81	13390.35	26325	0	24532
2018.01.12	13390.35	14048.82	12710.00	13655.90	24374	0	7000
2018.01.15	13247.50	14247.50	13247.50	13840.81	18620	0	45499
2018.01.16	13840.81	13861.50	10181.93	10471.00	32126	0	0
2018.01.17	10471.00	11449.45	9221.05	11286.50	40639	0	0
2018.01.18	11285.50	11847.50	10462.00	11345.50	48703	0	35500
2018.01.19	11345.50	11829.50	10599.98	11250.50	44984	0	0
2018.01.22	11253.50	11831.00	9958.50	10298.00	38441	0	67000
2018.01.23	10297.50	11647.50	9967.50	10923.50	38588	0	0
2018.01.24	10923.00	11481.50	10391.00	11159.50	34922	0	61500
2018.01.25	11159.50	11664.50	10805.50	11201.00	34080	0	69000
2018.01.26	11201.00	11592.50	10251.50	10821.50	33592	0	0
2018.01.29	11865.50	11906.50	10234.50	11259.50	28256	0	0
2018.01.30	11259.50	11259.50	9666.00	10190.50	32681	0	36000
2018.01.31	10190.50	10474.50	9574.50	10034.50	34724	0	0
2018.02.01	10034.50	10260.00	8885.55	9266.05	42224	0	41750
2018.02.02	9266.05	9695.00	7915.00	8574.20	55380	0	24300
2018.02.05	8050.05	8392.30	7153.70	7227.25	34917	0	0
2018.02.07	7636.60	8617.67	7579.10	8056.79	37403	0	7790
2018.02.08	8048.69	8604.28	7510.00	8167.55	77845	0	35560
2018.02.09	8129.78	8729.42	7720.03	8520.67	77298	0	23540
2018.02.12	8262.25	8884.83	7991.55	8792.92	79402	0	36290
2018.02.13	8793.69	8960.10	8325.81	8522.12	79538	0	41430
2018.02.14	8521.24	9346.95	8430.00	9249.74	77535	0	25820
2018.02.15	9249.74	10200.93	9195.02	9876.76	76950	0	9020
2018.02.16	9881.07	10267.99	9675.76	10062.47	79763	0	37820
2018.02.19	10775.74	11227.78	10297.66	11032.51	80306	0	27290
2018.02.20	11059.02	11712.50	11007.35	11687.34	78990	0	24530
2018.02.21	11668.70	11749.10	10223.58	10253.86	77094	0	0
2018.02.22	10272.08	10902.43	9696.57	9871.04	77813	0	32380
2018.02.23	9897.54	10371.31	9566.52	9896.61	79708	0	19710
2018.02.26	9568.97	10429.11	9344.55	10349.52	78505	0	25370
2018.02.27	10337.85	10819.67	10115.93	10711.01	79280	0	38150
2018.02.28	10733.21	11033.86	10333.13	10537.44	77415	0	29320
2018.03.01	10488.77	11052.86	10188.74	10897.95	78117	0	39950
2018.03.02	10902.49	11144.92	10742.58	10985.03	76971	0	30770
2018.03.05	11375.15	11657.51	11239.11	11619.39	70640	0	3260
2018.03.06	11614.13	11614.13	10531.39	10757.73	78077	0	0
2018.03.07	10758.03	10879.75	9422.31	9912.77	76539	0	13270
2018.03.08	9909.66	10101.88	9047.79	9288.73	76623	0	14970
2018.03.09	9277.62	9377.49	8333.22	9000.35	75355	0	0
2018.03.12	9515.03	9861.61	8715.32	9067.34	78259	0	0
2018.03.13	9067.34	9450.50	8804.74	9088.30	78264	0	40100
2018.03.14	9088.03	9324.95	7913.38	8011.09	76973	0	33850
2018.03.15	8013.63	8393.67	7648.24	8258.04	75359	0	28020
2018.03.16	8256.59	8581.42	7881.16	8465.14	79328	0	41550
2018.03.19	8219.99	8683.33	8035.83	8355.83	77346	0	29380
2018.03.20	8356.83	9019.67	8286.74	8956.71	79081	0	12100
2018.03.21	8956.84	9156.55	8723.20	8883.51	79395	0	28060
2018.03.22	8884.98	9066.31	8469.60	8571.73	79828	0	26760
2018.03.23	8572.99	8733.66	8250.57	8617.50	77732	0	14230
2018.03.26	8571.30	8621.00	7800.68	7865.86	77073	0	41020
2018.03.27	7844.34	8237.56	7709.99	7967.91	77039	0	25290
2018.03.28	7964.72	8072.78	7689.88	7873.56	78039	0	32140
2018.03.29	7869.89	7969.83	7106.39	7106.39	76076	0	0
2018.03.30	7066.28	7299.67	6522.71	6829.80	72292	0	7070
2018.04.02	6859.52	7076.47	6724.87	6887.81	78559	0	44320
2018.04.03	6900.10	7405.87	6890.62	7365.90	50775	0	31460
2018.04.04	7367.26	7411.39	6701.54	6809.91	78218	0	31310
2018.04.05	6813.75	6893.27	6545.50	6726.25	78077	0	46240
2018.04.06	6726.25	6816.26	6475.67	6567.89	77105	0	49850
2018.04.09	6922.23	7144.48	6578.03	6627.97	75726	0	0
2018.04.10	6622.68	6839.53	6620.33	6818.63	75783	0	53380
2018.04.11	6809.67	6935.29	6748.76	6860.96	76926	0	51550
2018.04.12	6858.77	8029.04	6724.46	7698.67	72888	0	0
2018.04.13	7692.86	8196.06	7661.79	7861.37	75688	0	32210
2018.04.16	8248.61	8390.82	7870.89	7958.84	78632	0	47020
2018.04.17	7957.92	8128.28	7777.91	7876.09	79201	0	38790
2018.04.18	7884.21	8206.93	7826.21	8155.90	79106	0	38490
2018.04.19	8152.24	8266.74	8042.39	8202.41	78696	0	41540
2018.04.20	8204.77	8534.20	8183.56	8489.22	77808	0	34030
2018.04.23	8866.80	8967.74	8726.21	8888.26	78798	0	11210
2018.04.24	8899.47	9437.98	8876.33	9416.70	76158	0	34520
2018.04.25	9416.98	9725.17	8720.90	9034.42	73110	0	38500
2018.04.26	9035.63	9143.01	8615.16	9066.37	73526	0	45310
2018.04.27	9066.37	9350.71	8913.06	8948.09	76556	0	11150
2018.04.30	9262.62	9410.17	9077.86	9245.54	76101	0	22410
2018.05.01	9235.44	9253.61	8785.87	8976.94	74317	0	42120
2018.05.02	8985.62	9158.09	8941.58	9129.65	74916	0	42840
2018.05.03	9155.82	9699.99	9132.44	9627.07	71733	0	0
2018.05.04	9623.55	9762.78	9499.88	9640.43	75031	0	41770
2018.05.07	9474.94	9597.49	9142.63	9406.21	76781	0	32770
2018.05.08	9405.24	9419.99	9000.89	9125.03	76991	0	33100
2018.05.09	9133.48	9334.68	8940.96	9221.23	78097	0	42780
2018.05.10	9208.14	9359.96	9016.41	9058.07	78352	0	41420
2018.05.11	9062.56	9096.66	8345.27	8387.48	74913	0	31420
2018.05.14	8686.10	8867.73	8253.48	8813.76	74976	0	32780
2018.05.15	8775.74	8829.17	8379.37	8492.12	76640	0	42570
2018.05.16	8492.12	8525.47	8068.89	8258.12	77351	0	60010
2018.05.17	8262.87	8467.11	8078.91	8172.33	78291	0	54040
2018.05.18	8163.87	8245.00	7895.60	8199.51	77566	0	40620
2018.05.21	8536.28	8558.36	8286.19	8378.99	78192	0	60010
2018.05.22	8378.99	8394.09	8039.59	8081.38	78844	0	60010
2018.05.23	8081.38	8088.40	7407.74	7538.70	73673	0	60010
2018.05.24	7538.70	7701.50	7251.10	7469.98	43848	0	60030
2018.05.28	7292.44	7412.77	7136.17	7204.80	35970	0	20000
2018.05.29	7204.85	7498.55	7003.15	7488.60	78671	0	20000
2018.05.30	7486.00	7524.79	7241.77	7321.75	79968	0	20000
2018.05.31	7323.30	7592.50	7281.36	7533.50	69720	0	500
2018.06.01	7533.50	7604.00	7336.00	7434.00	63756	0	500
2018.06.04	7693.61	7752.00	7441.50	7519.00	64410	0	0
2018.06.05	7519.00	7656.50	7351.50	7622.50	78894	0	500
2018.06.06	7622.50	7675.50	7473.50	7612.50	86067	0	500
2018.06.07	7613.50	7743.00	7571.83	7658.50	49845	0	90
2018.06.08	7659.50	7689.00	7534.00	7639.00	33285	0	70
2018.06.11	6685.34	6832.50	6636.50	6754.00	66345	0	490
2018.06.12	6754.00	6903.00	6438.50	6527.00	29778	0	10
2018.06.13	6527.00	6617.00	6115.00	6253.00	41073	0	10
2018.06.14	6253.00	6701.00	6220.43	6643.50	39322	0	0
2018.06.15	6643.50	6655.00	6432.00	6490.00	35881	0	10
2018.06.18	6457.66	6786.00	6379.50	6724.00	23406	0	100
2018.06.19	6724.00	6828.50	6665.50	6688.50	19369	0	500
2018.06.20	6688.50	6809.00	6550.50	6740.50	15856	0	100
2018.06.21	6740.50	6784.00	6675.79	6716.50	16541	0	100
2018.06.22	6717.50	6748.00	5990.00	6063.50	27539	0	0
2018.06.25	6161.00	6336.50	6070.00	6245.00	29047	0	100
2018.06.26	6245.00	6271.00	6124.00	6182.50	25124	0	500
2018.06.27	6182.50	6252.50	5984.50	6119.00	26471	0	100
2018.06.28	6119.00	6175.50	6021.00	6044.00	22011	0	10
2018.06.29	6044.00	6044.00	5779.50	5895.73	43496	0	0
2018.07.02	6342.53	6667.19	6270.69	6619.01	55532	0	0
2018.07.03	6619.01	6665.99	6533.00	6612.43	50929	0	10
2018.07.04	6616.58	6786.68	6413.20	6684.17	46634	0	10
2018.07.05	6684.17	6700.00	6445.31	6505.99	56809	0	10
2018.07.06	6506.00	6598.70	6419.92	6528.46	53305	0	10
2018.07.09	6705.96	6722.25	6624.63	6658.28	42039	0	66010
2018.07.10	6658.28	6776.00	6265.95	6351.26	46629	0	66010
2018.07.11	6351.29	6374.50	6237.84	6318.78	47438	0	66010
2018.07.12	6317.36	6348.19	6052.59	6137.03	43697	0	66010
2018.07.13	6137.03	6304.25	6039.20	6148.64	38104	0	66010
2018.07.16	6337.31	6690.79	6300.63	6623.59	36813	0	66010
2018.07.17	6623.59	7434.85	6608.35	7284.11	42802	0	66010
2018.07.18	7284.11	7548.03	7206.15	7303.18	37906	0	66010
2018.07.19	7303.15	7476.94	7245.00	7383.43	34160	0	66010
2018.07.20	7383.43	7658.82	7233.00	7322.29	34389	0	66010
2018.07.23	7485.16	7765.36	7305.91	7667.86	36959	0	66010
2018.07.24	7667.86	8319.69	7657.16	8185.09	39158	0	66010
2018.07.25	8185.09	8441.07	8016.22	8147.01	32666	0	66010
2018.07.26	8147.01	8281.76	8057.48	8105.91	25976	0	66010
2018.07.27	8107.96	8240.26	7765.48	8200.20	28898	0	66010
2018.07.30	8159.00	8252.00	7824.40	8117.08	28209	0	66010
2018.07.31	8117.08	8163.19	7624.13	7661.20	29255	0	66010
2018.08.01	7661.20	7744.00	7423.00	7447.11	30090	0	66010
2018.08.02	7447.11	7676.98	7407.00	7507.93	29378	0	66010
2018.08.03	7507.93	7543.47	7253.37	7348.49	28052	0	66010
2018.08.06	7013.73	7124.92	6811.00	6887.00	18122	0	66010
2018.08.07	6887.00	7115.39	6802.06	6841.22	16797	0	66010
2018.08.08	6841.22	6848.10	6094.93	6282.07	23913	0	66010
2018.08.09	6282.11	6516.99	6156.00	6484.99	20722	0	66010
2018.08.10	6484.99	6594.00	6098.35	6149.98	22167	0	66010
2018.08.13	6301.52	6507.00	6108.00	6248.43	19453	0	66010
2018.08.14	6248.43	6249.81	5847.00	6039.41	27113	0	66010
2018.08.15	6036.17	6595.50	6033.16	6348.15	28535	0	66010
2018.08.16	6348.15	6443.63	6180.44	6216.30	28419	0	66010
2018.08.17	6216.38	6524.99	6190.91	6446.73	26078	0	66010
2018.08.20	6503.07	6511.98	6348.35	6422.81	20849	0	66010
2018.08.21	6422.81	6444.98	6190.90	6417.98	19516	0	66010
2018.08.22	6417.98	6836.99	6250.81	6293.82	18240	0	66010
2018.08.23	6293.92	6451.42	6217.00	6383.56	14619	0	66010
2018.08.24	6383.56	6613.59	6377.66	6577.01	15903	0	66010
2018.08.27	6646.94	6728.86	6606.17	6681.59	14834	0	66010
2018.08.28	6681.59	7091.99	6672.30	7048.69	16703	0	66010
