time,open,high,low,close,BuyBias,SellBias,TP1-Sell,TP1-Buy,TP2-Sell,TP2-Buy,TP3-Sell,TP3-Buy,Median,New Moon,First Moon,Waning,Full Moon,1/8,3/8,5/8,7/8,Spring,Summer,Fall,midwinter,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),%K,%D
2015-08-25,377.9892,440.9874,377.9892,419.988,398.18868,394.18868,383.13149255999997,409.24586744,377.97123999999997,413.00615999999997,359.88975999999997,432.48759999999993,396.18868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,377.9892,440.9874,377.9892,419.988,29.259259259259277,28.950617283950596
2015-08-26,419.988,428.38776,402.348504,419.148024,414.9882,410.9882,390.30488760000003,435.6715124,386.37100000000004,446.6052,351.49,474.4864,412.9882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,419.988,428.38776,402.348504,419.148024,44.074074074074105,32.19135802469137
2015-08-27,424.18788,445.18728,424.18788,440.9874,418.62809599999997,414.62809599999997,408.063100208,425.19309179199996,406.25043199999993,429.52568799999995,392.08883999999995,441.167352,416.62809599999997,NaN,NaN,NaN,NaN,NaN,471.22653599999995,NaN,NaN,0,0,0,0,424.18788,445.18728,424.18788,440.9874,67.91666666666669,47.08333333333335
2015-08-28,457.78692,457.78692,411.58824,412.428216,438.78752000000003,434.78752000000003,430.1477492,443.42729080000004,429.7697600000001,448.00516000000005,417.28812000000005,456.28691999999995,436.78752000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,457.78692,457.78692,411.58824,412.428216,63.78411306042887,58.59161793372323
2015-08-31,409.908288,428.38776,407.38836,419.988,429.26779200000004,425.26779200000004,411.00189624000006,443.53368776,398.1306640000001,441.5653440000001,382.569112,471.9664720000001,427.26779200000004,NaN,NaN,NaN,386.38895999999994,NaN,NaN,NaN,NaN,0,0,0,0,409.908288,428.38776,407.38836,419.988,63.179824561403514,64.96020142949969
2015-09-01,418.308048,424.18788,413.268192,416.628096,420.58804000000003,416.58804000000003,411.9482692,425.22781080000004,410.17032000000006,428.4057200000001,399.08864,438.0874400000001,418.58804000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,418.308048,424.18788,413.268192,416.628096,40.51568314726213,55.826540256364844
2015-09-02,416.628096,424.18788,413.268192,413.268192,420.02805599999994,416.02805599999994,415.23873518399995,420.8173768159999,413.25023199999987,421.40591999999987,408.6083679999999,427.44774399999994,418.02805599999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,416.628096,424.18788,413.268192,413.268192,30.01860712387032,44.571371610845326
2015-09-03,415.78812,419.988,413.268192,413.268192,418.90808799999996,414.90808799999996,414.118767184,419.69740881599995,411.0102959999999,419.1659839999999,407.48839999999996,426.327776,416.90808799999996,NaN,NaN,NaN,NaN,NaN,NaN,406.548384,NaN,0,0,0,0,415.78812,419.988,413.268192,413.268192,16.363636363636413,28.965975544922955
2015-09-04,414.108168,419.988,405.708408,406.548384,417.508128,413.508128,414.323161344,416.69309465599997,412.410256,416.366064,410.28832,420.727936,415.508128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,414.108168,419.988,405.708408,406.548384,9.012345679012347,18.46486305550636
2015-09-07,411.58824,411.58824,398.9886,400.668552,412.748264,408.748264,406.67545985600003,414.821068144,402.890528,414.40612,397.968672,423.527856,410.748264,NaN,NaN,386.38896000000005,NaN,NaN,NaN,NaN,NaN,0,0,0,0,411.58824,411.58824,398.9886,400.668552,7.345679012345613,10.907220351664785
2015-09-08,398.9886,410.748264,394.78872,405.708408,405.74846399999996,401.74846399999996,400.31740152,407.17952647999994,397.29068799999993,407.1263279999999,392.648824,414.8481039999999,403.74846399999996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,398.9886,410.748264,394.78872,405.708408,15.837742504409105,10.731922398589015
2015-09-09,408.228336,416.628096,404.868432,414.108168,405.748464,401.748464,399.03391819200004,408.463009808,398.130664,411.326208,389.28892,418.20800800000006,403.748464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,408.228336,416.628096,404.868432,414.108168,40.158730158730094,21.114050558494938
2015-09-10,411.58824,411.58824,404.868432,404.868432,413.868232,409.868232,408.75804035199997,414.978423648,408.49036799999993,417.48603199999997,401.60856799999993,422.12789599999996,411.868232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,395.628696,0,0,0,0,411.58824,411.58824,404.868432,404.868432,51.26984126984123,35.755437977660144
2015-09-11,407.38836,424.18788,407.38836,407.38836,409.108368,405.108368,405.923401344,408.29333465599996,404.010496,407.966304,401.88856,412.328176,407.108368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,407.38836,424.18788,407.38836,407.38836,53.174603174603085,48.20105820105814
2015-09-14,411.58824,414.108168,405.708408,405.708408,414.9882,410.9882,407.95278336,418.02361664,403.17052,417.20604000000003,397.68868,428.28772,412.9882,422.50792799999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,411.58824,414.108168,405.708408,405.708408,39.99999999999995,48.14814814814809
2015-09-15,404.868432,407.38836,400.668552,400.668552,410.50832799999995,406.50832799999995,406.68161968,410.3350363199999,404.2904879999999,409.9262479999999,401.608568,415.40808799999985,408.50832799999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,404.868432,407.38836,400.668552,400.668552,26.666666666666654,39.9470899470899
2015-09-16,404.028456,404.868432,399.828576,400.668552,404.90848800000003,400.90848800000003,401.72352134400006,404.093454656,399.8106160000001,403.7664240000001,397.68868000000003,408.128296,402.90848800000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,404.028456,404.868432,399.828576,400.668552,13.530377668308695,26.73234811165844
2015-09-17,400.668552,414.948144,400.668552,405.708408,403.78852,399.78852,401.245295008,402.331744992,400.09060800000003,402.366464,398.248664,405.32837600000005,401.78852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,400.668552,414.948144,400.668552,405.708408,9.195402298850572,16.464148877941977
2015-09-18,407.38836,409.908288,398.9886,403.18848,409.108368,405.108368,403.03556385599995,411.181172144,400.65059199999996,412.166184,394.32877599999995,419.88796,407.108368,NaN,NaN,NaN,NaN,420.82797600000004,NaN,NaN,NaN,0,0,0,0,407.38836,409.908288,398.9886,403.18848,17.967332123411992,13.564370696857088
2015-09-21,403.18848,403.18848,398.9886,403.18848,406.028456,402.028456,401.239135184,406.817776816,399.530624,407.686312,394.608768,413.44814400000007,404.028456,NaN,407.38836000000003,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,403.18848,403.18848,398.9886,403.18848,25.589836660617124,17.584190360959898
